"year","last_name, first_name","player_id","team_id","pa","pitches","runs_all","runs_heart","runs_shadow","runs_chase","runs_waste"
"2019","Nimmo, Brandon","607043","121","252","1086",11.404134845250935,-4.87716431435584,-2.6677384839615192,12.381114705459806,6.567922938108498
"2019","Phegley, Josh","572033","133","338","1257",4.40181174180429,-7.912739580566886,4.905744631051877,2.194347501664243,5.214459189655059
"2019","Forsythe, Logan","523253","140","363","1644",-3.8479102147449655,-16.82258195212231,-16.296132715910808,21.18313913462585,8.087665318662301
"2019","Mazara, Nomar","608577","140","463","1898",-0.338343216023255,-10.721825147770565,-4.116191568884721,6.461275065010094,8.038398435621941
"2019","Marte, Ketel","606466","109","626","2401",40.541942121895396,10.988470768174988,-0.7091438372164189,19.477580771651784,10.785034419284953
"2019","Flowers, Tyler","452095","144","307","1236",-9.169776034220684,-7.276418331436367,-12.904820204587262,5.817592284717252,5.193870217085668
"2019","Bogaerts, Xander","593428","111","695","2859",45.013612079015665,13.372423214182799,0.560975919631834,18.185588194137452,12.894624751063358
"2019","McCann, James","543510","145","475","1966",10.956509781026073,24.266046469632943,-25.337144886746227,5.455774315645918,6.571833882493442
"2019","Moncada, Yoán","660162","145","557","2219",25.461908137622824,5.6518899991497324,-4.709809336114233,15.261563835259077,9.258263639328208
"2019","Castro, Harold","605612","116","368","1302",-5.752143019382524,0.22075424188378212,-6.605902608021406,-2.091850680077732,2.72485602683283
"2019","Dozier, Hunter","641531","118","584","2253",14.213874323828216,7.559392020410352,-10.338166830075886,8.417652315109505,8.574996818384102
"2019","Moustakas, Mike","519058","158","571","2201",13.071096891387928,0.5552653845641318,-15.295087644847568,18.3539828734558,9.456936278215583
"2019","Polanco, Jorge","593871","142","697","2754",25.67563861308215,8.606944327991638,-20.063674811771754,22.293009851110046,14.839359245752174
"2019","Canó, Robinson","429664","121","419","1480",-10.669679016687727,-5.254472976115921,-19.563973397214546,7.75805101433196,6.39071634231084
"2019","Torres, Gleyber","650402","147","601","2393",21.006888212801563,1.4858570366488282,-4.006422965175685,12.991967499161719,10.535486642166713
"2019","Harper, Bryce","547180","143","671","2787",37.160828084388626,25.156324581103334,-19.30111304312748,14.516274383938182,16.78934216247454
"2019","Crawford, J.P.","641487","136","392","1690",-4.981160391157133,-20.829987501373306,-4.82907936314829,16.647509064962218,4.030397408402228
"2019","Martínez, José A.","500874","138","371","1558",-1.6051438238123028,-1.227826370007461,-23.350504135298088,15.241174376546155,7.732012304947092
"2019","Pham, Tommy","502054","139","649","2602",14.998997502661508,-12.512355539201312,-13.998201905944477,29.09944946835338,12.410105479453904
"2019","Escobar, Eduardo","500871","109","696","2691",12.429849322788032,10.084182130056803,-21.49286264848413,10.585384904634548,13.253144936580803
"2019","Severino, Pedro","600474","110","341","1400",-2.4274770550620812,-7.006647059183048,-15.600742432324886,11.584185418700908,8.595727017744947
"2019","Votto, Joey","458015","113","589","2390",6.281365008610256,-12.037168178133317,-14.392152399637132,22.35185015252662,10.358835433854027
"2019","Winker, Jesse","608385","113","368","1477",1.6034021971757106,-3.622860549550508,-16.657468456712493,13.608766675800279,8.274964527638417
"2019","Blackmon, Charlie","453568","115","633","2362",35.153007700085446,18.797541602538107,-10.12022666488498,16.657858234322205,9.817834528110057
"2019","Stewart, Christin","621514","116","413","1632",-10.62311282723331,-3.100584220276821,-25.39266329579822,7.960286984678017,9.90984770416371
"2019","Dixon, Brandon","641525","116","419","1658",-7.131040260428222,-0.8134473007073335,-15.406501399169658,3.239755108728992,5.849153330719764
"2019","Reddick, Josh","502210","117","534","1958",3.4367526322178046,-19.747550925932995,0.40079647067685187,11.557036699347453,11.226470388126467
"2019","Alfaro, Jorge","595751","146","464","1723",-10.807482460832311,6.380847210687324,-10.978507384421125,-9.771139290421583,3.5613170033230928
"2019","Ramírez, Harold","623912","146","445","1669",-1.0483802486451794,4.2734872153064885,-10.167928662304679,0.04484974173675965,4.801211456616243
"2019","Yelich, Christian","592885","158","559","2267",50.419950182482054,23.76767942723664,-10.792240730438854,21.91928053393148,15.52523095175273
"2019","Alonso, Pete","624413","121","682","2747",38.92577004748553,7.396524309551596,-1.5220927254068228,15.656088082358112,17.395250380982464
"2019","Marte, Starling","516782","134","576","2100",14.752454567054704,12.28082716200665,-16.2199410130206,7.410434824446179,11.281133593622446
"2019","Santana, Domingo","570267","136","489","2068",1.3042750247736503,-1.824518355476894,-20.39930098825406,15.544599382464982,7.983494986039599
"2019","Sandoval, Pablo","467055","137","292","1135",-2.5010307837595387,-5.80246673790244,-3.720175241034551,3.306255284447441,3.7153559107300134
"2019","Pence, Hunter","452254","140","312","1231",22.760148130145698,13.992933351440664,-2.6913582694241276,4.720002760445668,6.738570287683469
"2019","Trout, Mike","545361","108","578","2475",64.65723348805163,-4.972390009297539,20.42609760524498,28.840234766194378,20.36329112590991
"2019","Albies, Ozzie","645277","144","696","2494",25.550127729124217,9.054597808759882,-5.925122615272295,12.859185780029023,9.561466755607597
"2019","Galvis, Freddy","520471","113","587","2288",-2.2420501498905483,-13.775536013351125,-6.350566790747095,10.349717447329661,7.534335206877993
"2019","Wolters, Tony","547172","115","406","1545",-7.004205833545118,-19.23359214448811,-4.142946792095435,9.358277969289148,7.01405513374928
"2019","García, Leury","544725","145","618","2163",-21.19313567642803,-10.926115838554393,-20.608907043141876,5.55896810808361,4.782919097184531
"2019","Berti, Jon","542932","146","287","1171",1.9587887331203337,4.2642739298912975,-15.374415591503736,8.733012397981092,4.335917996751682
"2019","Tauchman, Mike","643565","147","296","1287",12.635948290862224,-3.423120174887866,-1.7438781578553941,12.51573657285675,5.287210050748736
"2019","Murphy, Tom","608596","136","281","1225",4.72696823963506,4.800238878471333,-9.404338609184341,5.184012446992202,4.147055523355853
"2019","Fowler, Dexter","451594","138","565","2388",8.696092703347883,-3.4748108990696656,-27.478031193001797,26.003234345511018,13.645700449908391
"2019","d'Arnaud, Travis","518595","139","391","1506",3.076003283433005,-7.661359044957885,-5.146549613572572,8.686130827608862,7.197781114354616
"2019","Cabrera, Asdrúbal","452678","120","512","2089",14.73923089084253,-6.808109559048879,-11.81622737783683,23.023195905261638,10.340371922466648
"2019","Upton, Justin","457708","108","256","1129",-2.374883321548167,-5.072151564330602,-11.887793637475902,8.788211640745446,5.796850239512901
"2019","Dyson, Jarrod","502481","109","451","1698",-13.574061954708725,-21.753944920680418,-11.893556249512459,12.98163820042381,7.091801015060318
"2019","Wilkerson, Stevie","592859","110","361","1478",-19.62081683157156,-8.293448853410792,-26.646104253049103,7.590006859812219,7.728729415076116
"2019","Bote, David","623520","112","352","1434",10.614586622347794,3.3578705128168695,-12.402443367982286,11.556755736636307,8.102403740876914
